SME_LOAN_ID_NO,GENDER,MARITAL_STATUS,FAMILY_MEMBERS,QUALIFICATION,EMPLOYMENT,CANDIDATE_INCOME,GUARANTEE_INCOME,LOAN_AMOUNT,LOAN_DURATION,LOAN_HISTORY,LOAN_LOCATION,IncomeGroup,I_LOAN_APPROVAL_STATUS,P_N,P_Y
LP002042,Female,Married,1,Graduate,No,4000,3917,173,360,1,Village,3,Y,0.3257176613,0.6742823387
LP002045,Male,Married,3,Graduate,No,10166,750,150,360,1,City,4,Y,0.1758127097,0.8241872903
LP002046,Male,Married,0,Under Graduate,No,4483,0,135,360,1,Town,3,Y,0.1225621484,0.8774378516
LP002047,Male,Married,2,Under Graduate,No,4521,1184,150,360,1,Town,3,Y,0.0985612339,0.9014387661
LP002056,Male,Married,2,Graduate,No,9167,0,235,360,1,Town,4,Y,0.0687549775,0.9312450225
LP002057,Male,Married,0,Under Graduate,No,13083,0,125,360,1,Village,4,Y,0.2626313814,0.7373686186
LP002059,Male,Married,2,Graduate,No,7874,3967,336,360,1,Village,4,Y,0.2278714179,0.7721285821
LP002062,Female,Married,1,Graduate,No,4333,0,132,84,1,Village,3,Y,0.3504341855,0.6495658145
LP002064,Male,Not Married,0,Graduate,No,4083,0,96,360,1,City,3,Y,0.2425482461,0.7574517539
LP002069,Male,Married,2,Under Graduate,No,3785,2912,180,360,0,Village,2,N,0.9485758563,0.0514241437
LP002070,Male,Married,3,Under Graduate,No,2654,1998,128,360,0,Village,1,N,0.9581088741,0.0418911259
LP002077,Male,Married,1,Graduate,No,10000,2690,412,360,1,Town,4,Y,0.1898497985,0.8101502015
LP002083,Male,Not Married,0,Graduate,Yes,5833,0,116,360,1,City,4,Y,0.2602018485,0.7397981515
LP002090,Male,Married,1,Graduate,No,4796,0,114,360,0,Town,3,N,0.87972227,0.12027773
LP002096,Male,Married,0,Under Graduate,No,2000,1600,115,360,1,Village,1,Y,0.2918605506,0.7081394494
LP002099,Male,Married,2,Graduate,No,2540,700,104,360,0,City,1,N,0.8885412864,0.1114587136
LP002102,Male,Married,0,Graduate,Yes,1900,1442,88,360,1,Village,1,Y,0.2203870441,0.7796129559
LP002105,Male,Married,0,Graduate,Yes,8706,0,108,480,1,Village,4,N,0.5049787395,0.4950212605
LP002107,Male,Married,3,Under Graduate,No,2855,542,90,360,1,City,1,Y,0.2330391892,0.7669608108
LP002111,Male,Married,0,Graduate,No,3016,1300,100,360,1,City,2,Y,0.1770639229,0.8229360771
LP002117,Female,Married,0,Graduate,No,3159,2374,108,360,1,Town,2,Y,0.0896604537,0.9103395463
LP002118,Female,Not Married,0,Graduate,No,1937,1152,78,360,1,Town,1,Y,0.1258793266,0.8741206734
LP002123,Male,Married,0,Graduate,No,2613,2417,123,360,1,Town,1,Y,0.0969457415,0.9030542585
LP002125,Male,Married,1,Graduate,No,4960,2600,187,360,1,Town,3,Y,0.1504026948,0.8495973052
LP002148,Male,Married,1,Graduate,No,3074,1083,146,360,1,Town,2,Y,0.1334357008,0.8665642992
LP002152,Female,Not Married,0,Graduate,No,4213,0,80,360,1,City,3,Y,0.227700954,0.772299046
LP002165,Male,Not Married,1,Under Graduate,No,2038,4027,100,360,1,Village,1,N,0.5374106928,0.4625893072
LP002167,Female,Not Married,0,Graduate,No,2362,0,55,360,1,City,1,Y,0.2235786623,0.7764213377
LP002168,Male,Not Married,0,Graduate,No,5333,2400,200,360,0,Village,4,N,0.9651755347,0.0348244653
LP002172,Male,Married,3,Graduate,Yes,5384,0,150,360,1,Town,4,Y,0.0921589165,0.9078410835
LP002176,Male,Not Married,0,Graduate,No,5708,0,150,360,1,Village,4,Y,0.2937496845,0.7062503155
LP002183,Male,Married,0,Under Graduate,No,3754,3719,118,360,1,Village,2,Y,0.3187234267,0.6812765733
LP002184,Male,Married,0,Under Graduate,No,2914,2130,150,300,1,City,2,Y,0.2913445798,0.7086554202
LP002186,Male,Married,0,Under Graduate,No,2747,2458,118,36,1,Town,1,N,0.9999951743,4.8257465E-6
LP002192,Male,Married,0,Graduate,No,7830,2183,212,360,1,Village,4,Y,0.2388294336,0.7611705664
LP002195,Male,Married,1,Graduate,Yes,3507,3148,212,360,1,Village,2,Y,0.3580687063,0.6419312937
LP002208,Male,Married,1,Graduate,No,3747,2139,125,360,1,City,2,Y,0.2613576376,0.7386423624
LP002212,Male,Married,0,Graduate,No,2166,2166,108,360,1,City,1,Y,0.1873900362,0.8126099638
LP002240,Male,Married,0,Under Graduate,No,3500,2168,149,360,1,Village,2,Y,0.3071691851,0.6928308149
LP002245,Male,Married,2,Under Graduate,No,2896,0,80,480,1,City,2,Y,0.452301204,0.547698796
LP002253,Female,Not Married,1,Graduate,No,5062,0,152,300,1,Village,4,Y,0.4023236704,0.5976763296
LP002256,Female,Not Married,2,Graduate,Yes,5184,0,187,360,0,Town,4,N,0.8626266491,0.1373733509
LP002257,Female,Not Married,0,Graduate,No,2545,0,74,360,1,City,1,Y,0.2278629823,0.7721370177
LP002264,Male,Married,0,Graduate,No,2553,1768,102,360,1,City,1,Y,0.1821258373,0.8178741627
LP002270,Male,Married,1,Graduate,No,3436,3809,100,360,1,Village,2,Y,0.3167212809,0.6832787191
LP002279,Male,Not Married,0,Graduate,No,2412,2755,130,360,1,Village,1,Y,0.3285913692,0.6714086308
LP002286,Male,Married,3,Under Graduate,No,5180,0,125,360,0,City,4,N,0.9421274764,0.0578725236
LP002294,Male,Not Married,0,Graduate,No,14911,14507,130,360,1,Town,4,Y,0.2602351302,0.7397648698
LP002298,Male,Not Married,0,Graduate,Yes,2860,2988,138,360,1,City,2,Y,0.3072337644,0.6927662356
LP002306,Male,Married,0,Graduate,No,1173,1594,28,180,1,Village,1,Y,0.140206496,0.859793504
LP002310,Female,Not Married,1,Graduate,No,7600,0,92,360,1,Town,4,Y,0.1671592374,0.8328407626
LP002311,Female,Married,0,Graduate,No,2157,1788,104,360,1,City,1,Y,0.1741701169,0.8258298831
LP002316,Male,Not Married,0,Graduate,No,2231,2774,176,360,0,City,1,N,0.9581936093,0.0418063907
LP002321,Female,Not Married,0,Graduate,No,2274,5211,117,360,0,Town,1,N,0.9126309772,0.0873690228
LP002325,Male,Married,2,Under Graduate,No,6166,13983,102,360,1,Village,4,Y,0.3792429893,0.6207570107
LP002326,Male,Married,2,Under Graduate,No,2513,1110,107,360,1,Town,1,Y,0.0940775694,0.9059224306
LP002329,Male,Not Married,0,Graduate,No,4333,0,66,480,1,City,3,N,0.5504902793,0.4495097207
LP002333,Male,Not Married,0,Under Graduate,No,3844,0,105,360,1,City,3,Y,0.3279472489,0.6720527511
LP002339,Male,Married,0,Graduate,No,3887,1517,105,360,0,Town,3,N,0.8404658108,0.1595341892
LP002344,Male,Married,0,Graduate,No,3510,828,105,360,1,Town,2,Y,0.0862981703,0.9137018297
LP002346,Male,Married,0,Graduate,No,2539,1704,125,360,0,Village,1,N,0.937214583,0.062785417
LP002354,Female,Not Married,0,Under Graduate,No,2107,0,64,360,1,Town,1,Y,0.1649953383,0.8350046617
LP002355,Male,Married,0,Graduate,No,3186,3145,150,180,0,Town,2,N,0.8054573862,0.1945426138
LP002358,Male,Married,2,Graduate,Yes,5000,2166,150,360,1,City,3,Y,0.1560117871,0.8439882129
LP002360,Male,Married,0,Graduate,No,10000,0,125,360,1,City,4,Y,0.1650049572,0.8349950428
LP002375,Male,Married,0,Under Graduate,Yes,3943,0,64,360,1,Town,3,Y,0.1208553042,0.8791446958
LP002376,Male,Not Married,0,Graduate,No,2925,0,40,180,1,Village,2,Y,0.1952089577,0.8047910423
LP002383,Male,Married,3,Graduate,No,3242,437,142,480,0,City,2,N,0.978657776,0.021342224
LP002385,Male,Married,0,Graduate,No,3863,0,70,300,1,Town,3,Y,0.0878632209,0.9121367791
LP002389,Female,Not Married,1,Graduate,No,4028,0,131,360,1,Town,3,Y,0.1773597293,0.8226402707
LP002394,Male,Married,2,Graduate,No,4010,1025,120,360,1,City,3,Y,0.133460438,0.866539562
LP002397,Female,Married,1,Graduate,No,3719,1585,114,360,1,City,2,Y,0.2407653625,0.7592346375
LP002399,Male,Not Married,0,Graduate,No,2858,0,123,360,0,Village,1,N,0.9561573206,0.0438426794
LP002400,Female,Married,0,Graduate,No,3833,0,92,360,1,Village,3,Y,0.1831455964,0.8168544036
LP002402,Male,Married,0,Graduate,No,3333,4288,160,360,1,City,2,Y,0.2190462243,0.7809537757
LP002412,Male,Married,0,Graduate,No,3007,3725,151,360,1,Village,2,Y,0.2462200266,0.7537799734
LP002415,Female,Not Married,1,Graduate,No,1850,4583,81,360,1,Village,1,Y,0.4235508834,0.5764491166
LP002417,Male,Married,3,Under Graduate,No,2792,2619,171,360,1,Town,1,Y,0.1479687871,0.8520312129
LP002420,Male,Married,0,Graduate,No,2982,1550,110,360,1,Town,2,Y,0.0906994161,0.9093005839
LP002425,Male,Not Married,0,Graduate,No,3417,738,100,360,1,Village,2,Y,0.2919357068,0.7080642932
LP002433,Male,Married,1,Graduate,No,18840,0,234,360,1,Village,4,Y,0.2871173158,0.7128826842
LP002440,Male,Married,2,Graduate,No,2995,1120,184,360,1,Village,2,Y,0.1714140854,0.8285859146
LP002441,Male,Not Married,0,Graduate,No,3579,3308,138,360,1,Town,2,Y,0.1582428742,0.8417571258
LP002442,Female,Married,1,Under Graduate,No,3835,1400,112,480,0,City,3,N,0.9901272603,0.0098727397
LP002445,Female,Not Married,1,Under Graduate,No,3854,3575,117,360,1,Village,3,N,0.5185855456,0.4814144544
LP002450,Male,Married,2,Graduate,No,5833,750,49,360,0,Village,4,N,0.898922101,0.101077899
LP002471,Male,Not Married,0,Graduate,No,3508,0,99,360,1,Village,2,Y,0.2821441017,0.7178558983
LP002476,Female,Married,3,Under Graduate,No,1635,2444,99,360,1,City,1,Y,0.2470523751,0.7529476249
LP002482,Female,Not Married,0,Graduate,Yes,3333,3916,212,360,1,Village,2,Y,0.3726021797,0.6273978203
LP002485,Male,Not Married,1,Graduate,No,24797,0,240,360,1,Town,4,Y,0.1916412899,0.8083587101
LP002495,Male,Married,2,Graduate,No,5667,440,130,360,0,Town,4,N,0.7824218763,0.2175781237
LP002496,Female,Not Married,0,Graduate,No,3500,0,94,360,0,Town,2,N,0.8790852433,0.1209147567
LP002523,Male,Married,3,Graduate,No,2773,1497,108,360,1,Town,1,Y,0.0900567574,0.9099432426
LP002542,Male,Married,0,Graduate,No,6500,0,144,360,1,City,4,Y,0.171203456,0.828796544
LP002550,Female,Not Married,0,Graduate,No,5769,0,110,180,1,Town,4,Y,0.0836303142,0.9163696858
LP002551,Male,Married,3,Under Graduate,No,3634,910,176,360,0,Town,2,N,0.8933526176,0.1066473824
LP002553,Male,Not Married,0,Graduate,No,29167,0,185,360,1,Town,4,Y,0.1243123491,0.8756876509
LP002554,Male,Not Married,0,Graduate,No,2166,2057,122,360,1,Town,1,Y,0.146385289,0.853614711
LP002561,Male,Married,0,Graduate,No,5000,0,126,360,1,Village,3,Y,0.1985438032,0.8014561968
LP002566,Female,Not Married,0,Graduate,No,5530,0,135,360,1,City,4,Y,0.2396478822,0.7603521178
LP002568,Male,Not Married,0,Under Graduate,No,9000,0,122,360,1,Village,4,Y,0.3717728994,0.6282271006
LP002570,Female,Married,2,Graduate,No,10000,11666,460,360,1,City,4,Y,0.3007945202,0.6992054798
LP002572,Male,Married,1,Graduate,No,8750,0,297,360,1,City,4,Y,0.2752028293,0.7247971707
LP002581,Male,Married,0,Under Graduate,No,2157,2730,140,360,1,Village,1,Y,0.3136312544,0.6863687456
LP002584,Male,Not Married,0,Graduate,No,1972,4347,106,360,1,Village,1,Y,0.3440864667,0.6559135333
LP002592,Male,Not Married,0,Graduate,No,4983,0,141,360,1,City,3,Y,0.2528992931,0.7471007069
LP002593,Male,Married,1,Graduate,No,8333,4000,125,360,1,City,4,Y,0.279377176,0.720622824
LP002599,Male,Married,0,Graduate,No,3667,2000,170,360,1,Town,2,Y,0.0997301033,0.9002698967
LP002604,Male,Married,2,Graduate,No,3166,2833,145,360,1,City,2,Y,0.1518875259,0.8481124741
LP002605,Male,Not Married,0,Under Graduate,No,3271,0,90,360,1,Village,2,Y,0.3689454556,0.6310545444
LP002609,Female,Married,0,Graduate,No,2241,2000,88,360,0,City,1,N,0.9179939458,0.0820060542
LP002610,Male,Married,1,Under Graduate,No,1792,2565,128,360,1,City,1,Y,0.3566563356,0.6433436644
LP002612,Female,Married,0,Graduate,No,2666,0,84,480,1,Town,1,Y,0.2474315205,0.7525684795
LP002614,Male,Not Married,0,Graduate,No,6478,0,108,360,1,Town,4,Y,0.1263649686,0.8736350314
LP002630,Male,Not Married,0,Under Graduate,No,3808,0,83,360,1,Village,3,Y,0.3660902301,0.6339097699
LP002635,Female,Married,2,Under Graduate,No,3729,0,117,360,1,Town,2,Y,0.0841249586,0.9158750414
LP002639,Male,Married,2,Graduate,No,4120,0,128,360,1,Village,3,Y,0.1510123328,0.8489876672
LP002644,Male,Married,1,Graduate,Yes,7500,0,75,360,1,City,4,Y,0.2344806589,0.7655193411
LP002651,Male,Married,1,Graduate,No,6300,0,125,360,0,City,4,N,0.9423737321,0.0576262679
LP002654,Female,Not Married,0,Graduate,Yes,14987,0,177,360,1,Village,4,Y,0.2942316914,0.7057683086
LP002657,Male,Married,1,Under Graduate,Yes,570,2125,68,360,1,Village,1,Y,0.3972133345,0.6027866655
LP002711,Male,Married,0,Graduate,No,2600,700,96,360,1,Town,1,Y,0.0851099291,0.9148900709
LP002712,Male,Not Married,2,Under Graduate,No,2733,1083,180,360,1,Town,1,Y,0.1571017088,0.8428982912
LP002721,Male,Married,2,Graduate,Yes,7500,0,183,360,1,Village,4,Y,0.1687319622,0.8312680378
LP002735,Male,Married,2,Under Graduate,No,3859,0,121,360,1,Village,3,Y,0.209695389,0.790304611
LP002744,Male,Married,1,Graduate,No,6825,0,162,360,1,Village,4,Y,0.2806144594,0.7193855406
LP002745,Male,Married,0,Graduate,No,3708,4700,132,360,1,Town,2,Y,0.1107515677,0.8892484323
LP002746,Male,Not Married,0,Graduate,No,5314,0,147,360,1,City,4,Y,0.2540860941,0.7459139059
LP002747,Female,Not Married,3,Graduate,No,2366,5272,153,360,0,Village,1,N,0.9674094257,0.0325905743
LP002754,Male,Not Married,0,Graduate,No,2066,2108,104,84,1,City,1,Y,0.3602727598,0.6397272402
LP002759,Male,Married,2,Graduate,No,5000,0,149,360,1,Village,3,Y,0.1540433251,0.8459566749
LP002760,Female,Not Married,0,Graduate,No,3767,0,134,300,1,City,2,Y,0.2638058673,0.7361941327
LP002766,Female,Married,0,Graduate,No,7859,879,165,180,1,Town,4,Y,0.0591663681,0.9408336319
LP002769,Female,Married,0,Graduate,No,4283,0,120,360,1,Village,3,Y,0.1884638301,0.8115361699
LP002774,Male,Married,0,Under Graduate,No,1700,2900,67,360,0,City,1,N,0.9485616479,0.0514383521
LP002775,Male,Not Married,0,Under Graduate,No,4768,0,125,360,1,Village,3,Y,0.3780518981,0.6219481019
LP002781,Male,Not Married,0,Graduate,No,3083,2738,120,360,1,City,2,Y,0.2828350202,0.7171649798
LP002782,Male,Married,1,Graduate,No,2667,1542,148,360,1,Village,1,Y,0.3011802459,0.6988197541
LP002786,Female,Married,0,Under Graduate,No,1647,1762,181,360,1,City,1,Y,0.260381838,0.739618162
LP002790,Male,Married,3,Graduate,No,3400,0,80,120,1,City,2,Y,5.7386572E-6,0.9999942613
LP002791,Male,Not Married,1,Graduate,No,16000,5000,40,360,1,Town,4,Y,0.2060845986,0.7939154014
LP002793,Male,Married,0,Graduate,No,5333,0,90,360,1,Village,4,Y,0.1906910846,0.8093089154
LP002802,Male,Not Married,0,Graduate,No,2875,2416,95,6,0,Town,2,,,
LP002803,Male,Married,1,Under Graduate,No,2600,618,122,360,1,Town,1,Y,0.1792172022,0.8207827978
LP002805,Male,Married,2,Graduate,No,5041,700,150,360,1,City,3,Y,0.1351403905,0.8648596095
LP002806,Male,Married,3,Graduate,Yes,6958,1411,150,360,1,Village,4,Y,0.2292940404,0.7707059596
LP002816,Male,Married,1,Graduate,No,3500,1658,104,360,1,Town,2,Y,0.1308208469,0.8691791531
LP002823,Male,Married,0,Graduate,No,5509,0,143,360,1,Village,4,Y,0.2017578173,0.7982421827
LP002825,Male,Married,3,Graduate,No,9699,0,300,360,1,City,4,Y,0.199739301,0.800260699
LP002826,Female,Married,1,Under Graduate,No,3621,2717,171,360,1,City,2,Y,0.3559543693,0.6440456307
LP002843,Female,Married,0,Graduate,No,4709,0,113,360,1,Town,3,Y,0.0781720065,0.9218279935
LP002849,Male,Married,0,Graduate,No,1516,1951,35,360,1,Town,1,Y,0.0852636525,0.9147363475
LP002850,Male,Not Married,2,Graduate,No,2400,0,46,360,1,City,1,Y,0.1771920634,0.8228079366
LP002853,Female,Not Married,0,Under Graduate,No,3015,2000,145,360,1,City,2,Y,0.3554794244,0.6445205756
LP002856,Male,Married,0,Graduate,No,2292,1558,119,360,1,City,1,Y,0.1837887564,0.8162112436
LP002857,Male,Married,1,Graduate,Yes,2360,3355,87,240,1,Village,1,Y,0.3850833958,0.6149166042
LP002858,Female,Not Married,0,Graduate,No,4333,2333,162,360,0,Village,3,N,0.9612754247,0.0387245753
LP002860,Male,Married,0,Graduate,Yes,2623,4831,122,180,1,Town,1,Y,0.0822089556,0.9177910444
LP002867,Male,Not Married,0,Graduate,Yes,3972,4275,187,360,1,Village,3,Y,0.3833706603,0.6166293397
LP002869,Male,Married,3,Under Graduate,No,3522,0,81,180,1,Village,2,Y,0.1900754475,0.8099245525
LP002870,Male,Married,1,Graduate,No,4700,0,80,360,1,City,3,Y,0.2248155378,0.7751844622
LP002876,Male,Not Married,0,Graduate,No,6858,0,176,360,1,Village,4,Y,0.2997402411,0.7002597589
LP002878,Male,Married,3,Graduate,No,8334,0,260,360,1,City,4,Y,0.1924352917,0.8075647083
LP002879,Male,Married,0,Graduate,No,3391,1966,133,360,0,Village,2,N,0.9385250225,0.0614749775
LP002885,Male,Not Married,0,Under Graduate,No,2868,0,70,360,1,City,2,Y,0.3188188408,0.6811811592
LP002890,Male,Married,2,Under Graduate,No,3418,1380,135,360,1,City,2,Y,0.1950789048,0.8049210952
LP002891,Male,Married,0,Graduate,Yes,2500,296,137,300,1,Village,1,Y,0.2400965348,0.7599034652
LP002899,Male,Married,2,Graduate,No,8667,0,254,360,1,Village,4,Y,0.1705058612,0.8294941388
LP002901,Male,Not Married,0,Graduate,No,2283,15000,106,360,1,Village,1,N,0.5043645871,0.4956354129
LP002907,Male,Married,0,Graduate,No,5817,910,109,360,1,City,4,Y,0.1731197334,0.8268802666
LP002920,Male,Married,0,Graduate,No,5119,3769,120,360,1,Village,4,Y,0.2370182338,0.7629817662
LP002921,Male,Married,3,Under Graduate,No,5316,187,158,180,0,Town,4,N,0.8376095671,0.1623904329
LP002932,Male,Married,3,Graduate,No,7603,1213,197,360,1,City,4,Y,0.1916625538,0.8083374462
LP002935,Male,Married,1,Graduate,No,3791,1936,85,360,1,City,3,Y,0.2487105907,0.7512894093
LP002952,Male,Not Married,0,Graduate,No,2500,0,60,360,1,City,1,Y,0.2353117674,0.7646882326
LP002954,Male,Married,2,Under Graduate,No,3132,0,76,360,1,Village,2,Y,0.2004885405,0.7995114595
LP002962,Male,Not Married,0,Graduate,No,4000,2667,152,360,1,Town,3,Y,0.1551448231,0.8448551769
LP002965,Female,Married,0,Graduate,No,8550,4255,96,360,1,City,4,Y,0.1903625985,0.8096374015
LP002969,Male,Married,1,Graduate,No,2269,2167,99,360,1,Town,1,Y,0.1344620152,0.8655379848
LP002971,Male,Married,3,Under Graduate,Yes,4009,1777,113,360,1,City,3,Y,0.2663641084,0.7336358916
LP002975,Male,Married,0,Graduate,No,4158,709,115,360,1,City,3,Y,0.1737568146,0.8262431854
LP002980,Male,Not Married,0,Graduate,No,3250,1993,126,360,1,Town,2,Y,0.1458295848,0.8541704152
LP002986,Male,Married,0,Graduate,No,5000,2393,158,360,1,Village,3,Y,0.2308959026,0.7691040974
LP002989,Male,Not Married,0,Graduate,Yes,9200,0,98,180,1,Village,4,Y,0.2148359254,0.7851640746
